date,has_ta_19036,has_ta_20326
2018-10-30,1039,1029
2018-10-31,1045,1027
2018-11-01,1050,1033
2018-11-02,1052,1037
2018-11-03,1042,1029
2018-11-04,1045,1041
2018-11-05,1052,1041
2018-11-06,1048,1041
2018-11-07,1043,1031
2018-11-08,1051,1034
2018-11-09,1058,1043
2018-11-10,1039,1034
2018-11-11,1043,1032
2018-11-12,1056,1049
2018-11-13,1062,1054
2018-11-14,1074,1062
2018-11-15,1066,1057
2018-11-16,1068,1059
2018-11-17,1065,1056
2018-11-18,1071,1056
2018-11-19,1080,1067
2018-11-20,1074,1062
2018-11-21,1075,1065
2018-11-22,1082,1065
2018-11-23,1086,1067
2018-11-24,1080,1063
2018-11-25,1086,1071
2018-11-26,1126,1084
2018-11-27,1107,1085
2018-11-28,1181,1133
2018-11-29,1179,1138
2018-11-30,1519,1472
2018-12-01,1160,1109
2018-12-02,1169,1119
2018-12-03,1240,1233
2018-12-04,1251,1229
2018-12-05,1238,1226
2018-12-06,1243,1225
2018-12-07,1236,1219
2018-12-08,1227,1215
2018-12-09,1235,1217
2018-12-10,1241,1228
2018-12-11,1246,1233
2018-12-12,1241,1227
2018-12-13,1236,1224
2018-12-14,1239,1215
2018-12-15,1235,1217
2018-12-16,1245,1227
2018-12-17,1245,1234
2018-12-18,1252,1237
2018-12-19,1240,1266
2018-12-20,1243,1266
2018-12-21,1250,1265
2018-12-22,1247,1248
2018-12-23,1236,1247
2018-12-24,1231,1244
2018-12-25,1225,1239
2018-12-26,1208,1229
2018-12-27,1222,1243
2018-12-28,1223,1234
2018-12-29,1220,1234
2018-12-30,1227,1245
2018-12-31,1230,1245
2019-01-01,1234,1257
2019-01-02,1228,1241
2019-01-03,1230,1245
2019-01-04,1231,1242
2019-01-05,1239,1258
2019-01-06,1244,1259
2019-01-07,1293,1312
2019-01-08,1314,1333
2019-01-09,1302,1314
2019-01-10,1165,1187
2019-01-11,927,1326
2019-01-12,80,1327
2019-01-13,24,1322
2019-01-14,22,1338
2019-01-15,19,1333
2019-01-16,20,1340
2019-01-17,19,1347
2019-01-18,20,1342
2019-01-19,20,1345
2019-01-20,17,1336
2019-01-21,18,1345
2019-01-22,20,1338
2019-01-23,17,1340
2019-01-24,18,1352
2019-01-25,15,1340
2019-01-26,15,1313
2019-01-27,16,1321
2019-01-28,14,1344
2019-01-29,17,1349
2019-01-30,13,1357
2019-01-31,12,1345
2019-02-01,12,1345
2019-02-02,15,1343
2019-02-03,14,1334
2019-02-04,13,1341
2019-02-05,11,1337
2019-02-06,13,1354
2019-02-07,14,1363
2019-02-08,16,1364
2019-02-09,12,1358
2019-02-10,15,1362
2019-02-11,14,1360
2019-02-12,15,1357
2019-02-13,16,1358
2019-02-14,19,1361
2019-02-15,18,1358
2019-02-16,17,1359
2019-02-17,16,1346
2019-02-18,14,1399
2019-02-19,15,1414
2019-02-20,14,1403
2019-02-21,16,1414
2019-02-22,17,1413
2019-02-23,15,1419
2019-02-24,14,1432
2019-02-25,14,1436
2019-02-26,18,1456
2019-02-27,20,1471
2019-02-28,16,1463
2019-03-01,16,1466
2019-03-02,15,1454
2019-03-03,14,1459
2019-03-04,16,1488
2019-03-05,16,1479
2019-03-06,16,1489
2019-03-07,14,1483
2019-03-08,14,1484
2019-03-09,19,1501
2019-03-10,14,1504
2019-03-11,15,1518
2019-03-12,17,1508
2019-03-13,17,1523
2019-03-14,20,1522
2019-03-15,19,1528
2019-03-16,14,1515
2019-03-17,16,1521
2019-03-18,15,1531
2019-03-19,15,1530
2019-03-20,15,1537
2019-03-21,15,1539
2019-03-22,18,1535
2019-03-23,18,1535
2019-03-24,15,1517
2019-03-25,18,1528
2019-03-26,15,1538
2019-03-27,19,1536
2019-03-30,23,1536
2019-03-31,18,1542
2019-04-01,20,1544
2019-04-02,18,1535
2019-04-03,16,1545
2019-04-04,17,1546
2019-04-05,15,1530
2019-04-06,16,1529
2019-04-07,15,1527
